id,email,student_id,password_hash,first_name,last_name,role,avatar_url,phone,department_id,year_of_study,is_active,last_login,created_at,updated_at,bio,gpa,total_credits
22222222-2222-2222-2222-222222222115,olivia.clark@student.aie.edu,STU015,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Olivia,Clark,student,,,11111111-1111-1111-1111-111111111117,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Database Systems student working on distributed systems,3.84,91
22222222-2222-2222-2222-222222222116,peter.lewis@student.aie.edu,STU016,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Peter,Lewis,student,,,11111111-1111-1111-1111-111111111111,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Final year CS student completing capstone project in AI,3.82,118
22222222-2222-2222-2222-222222222117,quinn.walker@student.aie.edu,STU017,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Quinn,Walker,student,,,11111111-1111-1111-1111-111111111118,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Web Development senior creating full-stack applications,3.71,115
22222222-2222-2222-2222-222222222118,riley.hall@student.aie.edu,STU018,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Riley,Hall,student,,,11111111-1111-1111-1111-111111111114,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,AI senior researching natural language processing,3.95,120
22222222-2222-2222-2222-222222222119,sophia.young@student.aie.edu,STU019,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Sophia,Young,student,,,11111111-1111-1111-1111-111111111112,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,IT senior specializing in cloud computing and DevOps,3.89,117
22222222-2222-2222-2222-222222222120,tyler.king@student.aie.edu,STU020,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Tyler,King,student,,,11111111-1111-1111-1111-111111111113,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Data Science senior working on predictive analytics models,3.86,119
22222222-2222-2222-2222-222222222121,uma.wright@student.aie.edu,STU021,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Uma,Wright,student,,,11111111-1111-1111-1111-111111111115,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Cybersecurity student interested in digital forensics,3.77,55
22222222-2222-2222-2222-222222222122,victor.lopez@student.aie.edu,STU022,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Victor,Lopez,student,,,11111111-1111-1111-1111-111111111116,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Software Engineering student with mobile app development focus,3.81,88
22222222-2222-2222-2222-222222222123,wendy.hill@student.aie.edu,STU023,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Wendy,Hill,student,,,11111111-1111-1111-1111-111111111117,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,First-year Database Systems student,3.65,27
22222222-2222-2222-2222-222222222124,xavier.green@student.aie.edu,STU024,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Xavier,Green,student,,,11111111-1111-1111-1111-111111111118,4,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Web Development senior with expertise in React and Node.js,3.90,116
22222222-2222-2222-2222-222222222125,yara.adams@student.aie.edu,STU025,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Yara,Adams,student,,,11111111-1111-1111-1111-111111111112,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,IT student specializing in network security,3.83,93
22222222-2222-2222-2222-222222222201,admin@aieportal.edu,ADM001,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Sarah,Johnson,admin,,,11111111-1111-1111-1111-111111111111,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,System Administrator and IT Manager,,0
22222222-2222-2222-2222-222222222202,superadmin@aieportal.edu,SUP001,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Michael,Chen,admin,,,11111111-1111-1111-1111-111111111112,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Super Administrator and Platform Manager,,0
22222222-2222-2222-2222-222222222301,dr.smith@aieportal.edu,FAC001,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Robert,Smith,faculty,,,11111111-1111-1111-1111-111111111111,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,"Professor of Computer Science, PhD in AI, 15+ years experience",,0
22222222-2222-2222-2222-222222222302,dr.wilson@aieportal.edu,FAC002,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Emily,Wilson,faculty,,,11111111-1111-1111-1111-111111111114,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Associate Professor of Machine Learning and AI,,0
22222222-2222-2222-2222-222222222303,dr.garcia@aieportal.edu,FAC003,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Carlos,Garcia,faculty,,,11111111-1111-1111-1111-111111111113,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Professor of Data Science and Analytics,,0
22222222-2222-2222-2222-222222222304,dr.lee@aieportal.edu,FAC004,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Jennifer,Lee,faculty,,,11111111-1111-1111-1111-111111111116,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Assistant Professor of Software Engineering,,0
22222222-2222-2222-2222-222222222305,dr.brown@aieportal.edu,FAC005,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,David,Brown,faculty,,,11111111-1111-1111-1111-111111111115,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Professor of Cybersecurity and Network Security,,0
22222222-2222-2222-2222-222222222306,dr.davis@aieportal.edu,FAC006,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Lisa,Davis,faculty,,,11111111-1111-1111-1111-111111111117,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Associate Professor of Database Systems,,0
22222222-2222-2222-2222-222222222307,dr.miller@aieportal.edu,FAC007,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,James,Miller,faculty,,,11111111-1111-1111-1111-111111111118,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Assistant Professor of Web Development,,0
22222222-2222-2222-2222-222222222308,dr.anderson@aieportal.edu,FAC008,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Maria,Anderson,faculty,,,11111111-1111-1111-1111-111111111112,,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Professor of Information Technology,,0
3bebfa00-926a-4af5-87f1-603283cd43b2,newuser@campus.edu,STU2024001,$2b$12$3KILI5l30.8qPkBfcYbfV.zjMq.aqvIiDsoBTJ6dCFogEuFE2LUaa,John,Doe,student,,,11111111-1111-1111-1111-111111111111,2,true,2025-09-18 17:23:47.024474,2025-09-18 17:05:50.622767,2025-09-18 17:05:50.622767,,,0
6bb2e247-5c62-4bda-82b0-0ba8f2076c93,bestgnanam@gmail.com,cb.sc.u4aie23233,$2b$12$8rugn.84nSyOrYIN21Tjg.3xOa7QnDTwYRWEK5QvZD/S1mrJGbKM6,best,gnanam,student,,,11111111-1111-1111-1111-111111111111,,true,,2025-09-26 15:25:49.351701,2025-09-26 15:25:49.351701,,,0
bc02e2c3-2399-45d0-9a93-183566b22c39,test@example.com,ST001,$2b$12$1FQWuv1UJp2QLb2TlH99e.ix2JJ8E2dpX3AvKgAx1HACI66e4mSAq,John,Doe,student,,,11111111-1111-1111-1111-111111111111,,true,2025-09-18 15:32:30.85325,2025-09-18 15:32:19.648924,2025-09-18 15:32:19.648924,,,0
cb116fc0-9fa6-4547-b6e7-043c1dbda77e,sanmitagj@gmail.com,cb.sc.u4aie23252,$2b$12$Hn2jdOtcCW05lUU/J.DETuy8ZMSfBFOW3OnINh0uijsjaiQ/hODay,Sanmita,g,student,,,11111111-1111-1111-1111-111111111111,,true,,2025-09-18 16:40:43.426639,2025-09-18 16:40:43.426639,,,0
de62a87d-4d0e-487d-b879-4cd93fd0668a,sanmij@gmail.com,cb.sc.u4aie23242,$2b$12$H0Cz0x46gQ0TSVyOnSBTgel7xNaCz25rts59r/QF2a7hkhK6IS3Ni,Sanmi,G J,student,,,11111111-1111-1111-1111-111111111111,,true,,2025-09-18 17:25:51.953574,2025-09-18 17:25:51.953574,,,0
